traffic_id,timestamp,location_id,vehicle_count,avg_speed,weather_condition,road_type,accident_count
1,2023-01-15 08:00:00,L1,120,55,Sunny,Highway,0
2,2023-01-15 09:00:00,L1,150,50,Sunny,Highway,0
3,2023-02-15 10:00:00,L1,180,45,Sunny,Highway,0
4,2023-03-15 11:00:00,L1,200,40,Sunny,Highway,0
5,2023-04-15 12:00:00,L1,220,35,Sunny,Highway,0
6,2023-01-15 13:00:00,L1,200,40,Sunny,Highway,0
7,2023-06-15 14:00:00,L1,180,45,Sunny,Highway,0
8,2023-07-15 15:00:00,L1,150,50,Sunny,Highway,0
9,2023-11-15 16:00:00,L1,120,55,Sunny,Highway,0
10,2023-12-16 08:00:00,L2,80,60,Rainy,Urban,1
11,2023-12-16 09:00:00,L2,100,55,Rainy,Urban,1
12,2023-12-16 10:00:00,L2,120,50,Rainy,Urban,1
13,2023-12-16 11:00:00,L2,140,45,Rainy,Urban,1
14,2023-08-16 12:00:00,L2,160,40,Rainy,Urban,1
15,2023-08-16 13:00:00,L2,140,45,Rainy,Urban,1
16,2023-08-16 14:00:00,L2,120,50,Rainy,Urban,1
17,2023-11-02 15:00:00,L2,100,55,Rainy,Urban,1
18,2023-11-16 16:00:00,L2,80,60,Rainy,Urban,1
19,2023-11-17 08:00:00,L3,50,70,Foggy,Rural,0
20,2023-01-17 09:00:00,L3,60,65,Foggy,Rural,0
21,2023-03-01 00:00:00,L5,149,65,Foggy,Highway,3
22,2023-12-01 00:00:00,L1,152,73,Rainy,Highway,2
23,2023-11-26 00:00:00,L7,191,67,Rainy,Rural,2
24,2023-06-04 00:00:00,L8,67,72,Foggy,Rural,2
25,2023-06-30 00:00:00,L4,64,32,Foggy,Highway,2
26,2023-07-22 00:00:00,L6,101,32,Sunny,Highway,3
27,2023-09-22 00:00:00,L3,185,49,Foggy,Rural,3
28,2023-01-20 00:00:00,L1,55,69,Rainy,Highway,2
29,2023-05-18 00:00:00,L6,167,31,Foggy,Highway,1
30,2023-08-24 00:00:00,L6,78,37,Rainy,Urban,1
31,2023-06-02 00:00:00,L9,229,31,Sunny,Urban,2
32,2023-02-03 00:00:00,L10,98,46,Foggy,Rural,0
33,2023-10-13 00:00:00,L10,206,47,Foggy,Urban,3
34,2023-03-22 00:00:00,L1,151,75,Snowy,Rural,3
35,2023-01-29 00:00:00,L6,91,41,Rainy,Rural,2
36,2023-12-31 00:00:00,L8,164,57,Rainy,Highway,1
37,2023-04-24 00:00:00,L2,202,35,Foggy,Rural,3
38,2023-11-13 00:00:00,L4,58,71,Rainy,Rural,1
39,2023-09-27 00:00:00,L7,173,63,Rainy,Highway,0
40,2023-06-04 00:00:00,L8,80,52,Rainy,Urban,0
41,2023-12-31 00:00:00,L5,123,57,Rainy,Highway,1
42,2023-12-30 00:00:00,L5,209,57,Rainy,Highway,1
43,2023-12-29 00:00:00,L5,209,57,Rainy,Highway,1
44,2023-12-28 00:00:00,L5,164,57,Rainy,Highway,1
45,2023-12-27 00:00:00,L5,172,57,Rainy,Highway,1
46,2023-12-26 00:00:00,L5,164,57,Rainy,Highway,1
47,2023-12-25 00:00:00,L5,144,57,Rainy,Highway,1
48,2023-12-24 00:00:00,L5,123,57,Rainy,Highway,1
49,2023-12-23 00:00:00,L5,114,57,Rainy,Highway,1
50,2023-12-22 00:00:00,L5,104,57,Rainy,Highway,1
51,2023-12-21 00:00:00,L5,64,57,Rainy,Highway,1
